0.986515 -1.98076 0.05
1.05808 -1.98089 0.05
1.12963 -1.981 0.05
1.20117 -1.9811 0.05
1.27269 -1.98119 0.05
1.3442 -1.98126 0.05
1.4157 -1.98133 0.05
1.48719 -1.98138 0.05
1.55867 -1.98143 0.05
1.63014 -1.98147 0.05
1.7016 -1.98151 0.05
1.77306 -1.98153 0.05
1.84452 -1.98156 0.05
1.91597 -1.98158 0.05
1.98741 -1.98159 0.05
2.05885 -1.9816 0.05
2.13029 -1.98161 0.05
2.20172 -1.98162 0.05
2.27316 -1.98162 0.05
2.34458 -1.98162 0.05
2.41601 -1.98162 0.05
2.48744 -1.98162 0.05
2.55886 -1.98161 0.05
2.63028 -1.98161 0.05
2.70171 -1.98161 0.05
2.77313 -1.9816 0.05
2.84455 -1.98159 0.05
2.91597 -1.98158 0.05
2.98739 -1.98157 0.05
3.0588 -1.98157 0.05
3.13022 -1.98155 0.05
3.20164 -1.98154 0.05
3.27306 -1.98153 0.05
3.34448 -1.98152 0.05
3.4159 -1.98151 0.05
3.48731 -1.9815 0.05
3.55872 -1.98149 0.05
3.63014 -1.98148 0.05
3.70156 -1.98146 0.05
3.77298 -1.98145 0.05
3.84439 -1.98144 0.05
3.91581 -1.98143 0.05
3.98722 -1.98141 0.05
4.05864 -1.9814 0.05
4.13005 -1.98139 0.05
4.20147 -1.98138 0.05
4.27289 -1.98137 0.05
4.3443 -1.98136 0.05
4.41572 -1.98134 0.05
4.48713 -1.98134 0.05
4.55855 -1.98133 0.05
4.62997 -1.98131 0.05
4.70139 -1.9813 0.05
4.7728 -1.98129 0.05
4.84422 -1.98128 0.05
4.91563 -1.98127 0.05
4.98705 -1.98126 0.05
5.05847 -1.98124 0.05
5.12989 -1.98124 0.05
5.2013 -1.98122 0.05
5.27272 -1.98121 0.05
5.34414 -1.98121 0.05
5.41555 -1.98119 0.05
5.48698 -1.98118 0.05
5.55839 -1.98117 0.05
5.62982 -1.98116 0.05
5.70123 -1.98116 0.05
5.77265 -1.98115 0.05
5.84406 -1.98114 0.05
5.91548 -1.98113 0.05
5.98691 -1.98112 0.05
6.05833 -1.98111 0.05
6.12975 -1.9811 0.05
6.20116 -1.9811 0.05
6.27258 -1.98109 0.05
6.344 -1.98107 0.05
6.41542 -1.98107 0.05
6.48684 -1.98106 0.05
6.55826 -1.98106 0.05
6.62968 -1.98105 0.05
6.7011 -1.98103 0.05
6.77252 -1.98103 0.05
6.84394 -1.98102 0.05
6.91536 -1.98102 0.05
6.98678 -1.981 0.05
7.0582 -1.981 0.05
7.12962 -1.98099 0.05
7.20105 -1.98098 0.05
7.27247 -1.98098 0.05
7.34389 -1.98097 0.05
7.41531 -1.98096 0.05
7.48673 -1.98096 0.05
7.55815 -1.98095 0.05
7.62957 -1.98094 0.05
7.701 -1.98094 0.05
7.77241 -1.98093 0.05
7.84384 -1.98092 0.05
7.91526 -1.98092 0.05
7.98668 -1.98091 0.05
0.986821 -1.90104 0.05
1.05838 -1.90116 0.05
1.12992 -1.90127 0.05
1.20144 -1.90136 0.05
1.27295 -1.90143 0.05
1.34445 -1.9015 0.05
1.41594 -1.90155 0.05
1.48742 -1.9016 0.05
1.55889 -1.90163 0.05
1.63035 -1.90167 0.05
1.7018 -1.90169 0.05
1.77325 -1.90171 0.05
1.8447 -1.90173 0.05
1.91614 -1.90174 0.05
1.98757 -1.90174 0.05
2.05901 -1.90175 0.05
2.13044 -1.90175 0.05
2.20187 -1.90175 0.05
2.27329 -1.90175 0.05
2.34472 -1.90174 0.05
2.41614 -1.90174 0.05
2.48756 -1.90173 0.05
2.55898 -1.90172 0.05
2.6304 -1.90171 0.05
2.70181 -1.9017 0.05
2.77323 -1.90169 0.05
2.84465 -1.90168 0.05
2.91607 -1.90167 0.05
2.98748 -1.90166 0.05
3.05889 -1.90165 0.05
3.13031 -1.90163 0.05
3.20172 -1.90162 0.05
3.27314 -1.9016 0.05
3.34455 -1.90159 0.05
3.41597 -1.90158 0.05
3.48738 -1.90156 0.05
3.55879 -1.90155 0.05
3.63021 -1.90153 0.05
3.70162 -1.90152 0.05
3.77303 -1.90151 0.05
3.84445 -1.90149 0.05
3.91586 -1.90148 0.05
3.98728 -1.90147 0.05
4.05869 -1.90145 0.05
4.1301 -1.90144 0.05
4.20152 -1.90143 0.05
4.27293 -1.90141 0.05
4.34435 -1.9014 0.05
4.41576 -1.90139 0.05
4.48718 -1.90137 0.05
4.55859 -1.90137 0.05
4.63001 -1.90135 0.05
4.70142 -1.90134 0.05
4.77284 -1.90133 0.05
4.84426 -1.90132 0.05
4.91567 -1.9013 0.05
4.98709 -1.90129 0.05
5.0585 -1.90128 0.05
5.12992 -1.90127 0.05
5.20134 -1.90126 0.05
5.27275 -1.90125 0.05
5.34417 -1.90123 0.05
5.41559 -1.90122 0.05
5.487 -1.90121 0.05
5.55842 -1.9012 0.05
5.62984 -1.90119 0.05
5.70126 -1.90118 0.05
5.77268 -1.90117 0.05
5.84409 -1.90117 0.05
5.91551 -1.90115 0.05
5.98693 -1.90115 0.05
6.05835 -1.90114 0.05
6.12977 -1.90112 0.05
6.20119 -1.90111 0.05
6.27261 -1.90111 0.05
6.34403 -1.90109 0.05
6.41544 -1.90109 0.05
6.48686 -1.90108 0.05
6.55828 -1.90107 0.05
6.6297 -1.90107 0.05
6.70112 -1.90105 0.05
6.77254 -1.90105 0.05
6.84396 -1.90104 0.05
6.91538 -1.90103 0.05
6.9868 -1.90102 0.05
7.05822 -1.90101 0.05
7.12964 -1.90101 0.05
7.20106 -1.901 0.05
